CT20,total_park_acres
"603400",2.711808
"603500",2.391254
"603702",52.507224
"603705",0.00186
"603706",12.441228
"603801",1.435962
"603802",14.726785
"603901",0.68389
"603902",4.59247
"604001",0.626201
"604002",4.061004
"604102",0.915482
"620001",12.780058
"620002",27.008376
"620101",17.194176
"620102",0.30547
"620301",4.975999
"620303",14.223082
"620305",21.278193
"620400",48.26637
"620501",9.882118
"620522",0.176758
"620601",4.134024
"620602",10.371476
"620701",2.151649
"620703",0.391937
"620704",23.480894
"620801",3.505019
"620802",15.385734
"620901",5.268736
"620904",6.10289
"621001",10.528375
"621005",10.018177
"621102",1.939995
"621104",25.671382
"621201",0.927114
"621204",18.830002
"621301",24.574567
"621324",7.963743
"621326",0.093171
"621400",0.135696
"650101",13.495475
"650102",6.467397
"650300",67.917605
"650401",11.560272
"650501",5.591749
"650502",31.898999
"650603",6.602427
"650605",9.569309
"650702",4.685427
"650802",44.297824
"650901",4.692535
"650903",5.842123
"650904",52.37191
"651001",7.39852
"651101",5.948052
"651102",1.685045
"651201",4.983021
"651221",0.393803
"651222",15.105927
"651302",6.50614
"651304",6.644257
"651401",22.131532
"651402",16.964109
"670001",9.388476
"670002",0.214552
"670003",2.060032
"670102",0.135102
"670201",110.865729
"670202",45.762533
"670324",216.067884
"670326",219.977584
"670328",127.610006
"670405",16.762376
"670406",10.674117
"670407",0.694527
"670413",68.174391
"670416",82.731556
"670417",1.119182
"670418",17.273833
"670500",8.223676
"670603",244.852308
"670604",665.93972
"670701",11.048826
"670702",217.748863
"700101",7.272783
"700200",0.128995
"700300",1.627752
"700400",6.115345
"700600",44.35674
"700700",24.600648
"700801",26.051001
"700802",0.149278
"700901",21.674311
"700902",3.395663
"701000",13.774858
"701304",18.411253
"701402",13.211984
"701601",4.183136
"701701",3.040766
"701702",0.320693
"701801",13.282897
"701802",10.30904
"701902",13.899031
"702002",13.37595
"702102",11.445742
"702202",7.133082
"702300",27.032949
"702400",8.319783
"702501",2.44297
"702502",66.222117
"702600",4.401317
"702700",17.586131
"702801",4.658998
"702803",3.175836
"702900",26.315077
"703002",23.143205
"703003",10.122217
"703100",26.84594
"703200",0.642794
"800101",199.397235
"800103",705.985662
"800104",2147.261295
"800202",937.327587
"800204",19.976834
"800206",122.52336
"800324",18.250244
"800325",5.123926
"800328",1254.240278
"800333",12.210713
"800334",167.532342
"800335",4933.081392
"800336",2576.68482
"800337",204.743668
"800338",37.581696
"800406",8013.080632
"800410",3570.509311
"800411",57.497183
"800412",34.522869
"800504",1831.371398
"800506",3288.513957
"900102",2953.397762
"900104",22.922675
"900504",140.151166
"900508",12.937279
"900606",11.463879
"900607",5.144013
"900610",28.62361
"900705",63.640421
"900804",23.805343
"900806",15.587498
"900901",54.494878
"901007",9.29815
"901010",64.520577
"901101",13.666626
"901209",14823.642607
"901216",4.683081
"901217",0.058789
"910002",8.879267
"910210",13.966959
"910212",0.005226
"910214",133.545034
"910217",4107.804615
"910218",24.126115
"910302",18.460917
"910401",80.351861
"910501",20.263058
"910602",89.340338
"910608",2.617059
"910706",34.963563
"910707",19.842838
"910715",32.493627
"910717",51.026978
"910718",37.358103
"910804",0.506477
"910807",4.904099
"910808",4.197391
"910814",0.304686
"910815",113.330484
"911001",138.043872
"911100",54.944958
"920013",284.827659
"920015",97.201351
"920016",2.30333
"920017",7.583005
"920020",585.657936
"920028",5.214176
"920029",48.919393
"920030",20.117468
"920031",4.732198
"920039",17.762267
"920043",11.364478
"920044",0.881317
"920048",13.030193
"920049",12.256876
"920050",0.052522
"920102",12661.536615
"920104",344.63013
"920106",57.923627
"920109",7.133375
"920111",7.162885
"920114",17.571591
"920115",34.221824
"920116",0.001852
"920118",5.373599
"920120",2.254288
"920121",17.675562
"920200",58.001961
"920303",442.936688
"920312",155.886765
"920314",14.553854
"920322",5.402184
"920326",3789.495406
"920330",7.36091
"920331",11.570759
"920332",0.001867
"920334",6.072745
"920338",16.647319
"920340",14.279608
"920342",11.918332
"930400",2775.109598
"980004",8.01367
"980006",454.3843
"980009",4011.687984
"980010",528.695395
"980013",5.439212
"980015",286.566987
"980017",13.733086
"980018",50.285967
"980019",8579.732263
"980020",1631.033137
"980021",1235.703517
"980022",29.122964
"980023",1140.822548
"980024",922.402112
"980026",154.044399
"980028",10.603746
"980031",130.609461
"980033",11.104055
"980034",0.021022
"980035",0.338566
"980036",778.278625
"980038",215.072818
