intersect,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
0.187689,"1","1",0.187689,0.187689,0,0.187689,0.187689,0.187689,0,0.187689,0.187689,0.187689,0.187689,0
16.324271,"1","1",16.324271,16.324271,0,16.324271,16.324271,16.324271,0,16.324271,16.324271,16.324271,16.324271,0
7.675365,"1","1",7.675365,7.675365,0,7.675365,7.675365,7.675365,0,7.675365,7.675365,7.675365,7.675365,0
12.201760,"1","1",12.20176,12.20176,0,12.20176,12.20176,12.20176,0,12.20176,12.20176,12.20176,12.20176,0
22.272116,"1","1",22.272116,22.272116,0,22.272116,22.272116,22.272116,0,22.272116,22.272116,22.272116,22.272116,0
0.581920,"1","1",0.58192,0.58192,0,0.58192,0.58192,0.58192,0,0.58192,0.58192,0.58192,0.58192,0
15.732604,"1","1",15.732604,15.732604,0,15.732604,15.732604,15.732604,0,15.732604,15.732604,15.732604,15.732604,0
0.825859,"1","1",0.825859,0.825859,0,0.825859,0.825859,0.825859,0,0.825859,0.825859,0.825859,0.825859,0
8.434685,"1","1",8.434685,8.434685,0,8.434685,8.434685,8.434685,0,8.434685,8.434685,8.434685,8.434685,0
10.175572,"1","1",10.175572,10.175572,0,10.175572,10.175572,10.175572,0,10.175572,10.175572,10.175572,10.175572,0
3.929657,"1","1",3.929657,3.929657,0,3.929657,3.929657,3.929657,0,3.929657,3.929657,3.929657,3.929657,0
1.262146,"1","1",1.262146,1.262146,0,1.262146,1.262146,1.262146,0,1.262146,1.262146,1.262146,1.262146,0
3.527549,"1","1",3.527549,3.527549,0,3.527549,3.527549,3.527549,0,3.527549,3.527549,3.527549,3.527549,0
2169.289920,"1","1",2169.28992,2169.28992,0,2169.28992,2169.28992,2169.28992,0,2169.28992,2169.28992,2169.28992,2169.28992,0
9.106041,"1","1",9.106041,9.106041,0,9.106041,9.106041,9.106041,0,9.106041,9.106041,9.106041,9.106041,0
0.626807,"1","1",0.626807,0.626807,0,0.626807,0.626807,0.626807,0,0.626807,0.626807,0.626807,0.626807,0
1.885846,"1","1",1.885846,1.885846,0,1.885846,1.885846,1.885846,0,1.885846,1.885846,1.885846,1.885846,0
39.194122,"1","1",39.194122,39.194122,0,39.194122,39.194122,39.194122,0,39.194122,39.194122,39.194122,39.194122,0
28.813347,"1","1",28.813347,28.813347,0,28.813347,28.813347,28.813347,0,28.813347,28.813347,28.813347,28.813347,0
30.285258,"1","1",30.285258,30.285258,0,30.285258,30.285258,30.285258,0,30.285258,30.285258,30.285258,30.285258,0
8.148583,"1","1",8.148583,8.148583,0,8.148583,8.148583,8.148583,0,8.148583,8.148583,8.148583,8.148583,0
4.210793,"1","1",4.210793,4.210793,0,4.210793,4.210793,4.210793,0,4.210793,4.210793,4.210793,4.210793,0
22.491138,"1","1",22.491138,22.491138,0,22.491138,22.491138,22.491138,0,22.491138,22.491138,22.491138,22.491138,0
30.702099,"1","1",30.702099,30.702099,0,30.702099,30.702099,30.702099,0,30.702099,30.702099,30.702099,30.702099,0
0.012285,"1","1",0.012285,0.012285,0,0.012285,0.012285,0.012285,0,0.012285,0.012285,0.012285,0.012285,0
1.590515,"1","1",1.590515,1.590515,0,1.590515,1.590515,1.590515,0,1.590515,1.590515,1.590515,1.590515,0
4.172091,"1","1",4.172091,4.172091,0,4.172091,4.172091,4.172091,0,4.172091,4.172091,4.172091,4.172091,0
2.154471,"1","1",2.154471,2.154471,0,2.154471,2.154471,2.154471,0,2.154471,2.154471,2.154471,2.154471,0
1.183325,"1","1",1.183325,1.183325,0,1.183325,1.183325,1.183325,0,1.183325,1.183325,1.183325,1.183325,0
1.142367,"1","1",1.142367,1.142367,0,1.142367,1.142367,1.142367,0,1.142367,1.142367,1.142367,1.142367,0
0.258134,"1","1",0.258134,0.258134,0,0.258134,0.258134,0.258134,0,0.258134,0.258134,0.258134,0.258134,0
39.617555,"1","1",39.617555,39.617555,0,39.617555,39.617555,39.617555,0,39.617555,39.617555,39.617555,39.617555,0
15.566519,"1","1",15.566519,15.566519,0,15.566519,15.566519,15.566519,0,15.566519,15.566519,15.566519,15.566519,0
10.133311,"1","1",10.133311,10.133311,0,10.133311,10.133311,10.133311,0,10.133311,10.133311,10.133311,10.133311,0
24.696460,"1","1",24.69646,24.69646,0,24.69646,24.69646,24.69646,0,24.69646,24.69646,24.69646,24.69646,0
0.822056,"1","1",0.822056,0.822056,0,0.822056,0.822056,0.822056,0,0.822056,0.822056,0.822056,0.822056,0
9.046717,"1","1",9.046717,9.046717,0,9.046717,9.046717,9.046717,0,9.046717,9.046717,9.046717,9.046717,0
2.487653,"1","1",2.487653,2.487653,0,2.487653,2.487653,2.487653,0,2.487653,2.487653,2.487653,2.487653,0
2.416397,"1","1",2.416397,2.416397,0,2.416397,2.416397,2.416397,0,2.416397,2.416397,2.416397,2.416397,0
2.835819,"1","1",2.835819,2.835819,0,2.835819,2.835819,2.835819,0,2.835819,2.835819,2.835819,2.835819,0
5.272120,"1","1",5.27212,5.27212,0,5.27212,5.27212,5.27212,0,5.27212,5.27212,5.27212,5.27212,0
11.793768,"1","1",11.793768,11.793768,0,11.793768,11.793768,11.793768,0,11.793768,11.793768,11.793768,11.793768,0
5.000772,"1","1",5.000772,5.000772,0,5.000772,5.000772,5.000772,0,5.000772,5.000772,5.000772,5.000772,0
17.322854,"1","1",17.322854,17.322854,0,17.322854,17.322854,17.322854,0,17.322854,17.322854,17.322854,17.322854,0
